Date,Open,High,Low,Close,Volume
2015-01-05,860.0539655412946,902.213473656064,860.0539655412946,885.3496704101562,355100
2015-01-06,885.3495803388577,885.3495803388577,868.4857788085938,868.4857788085938,301000
2015-01-07,868.4859182320389,885.3497224695542,860.0540161132812,860.0540161132812,240900
2015-01-08,868.4857788085938,876.9176795737256,860.0538780434617,868.4857788085938,185900
2015-01-09,876.9177753712871,893.7815787438119,851.6220703125,851.6220703125,369400
2015-01-13,851.6220703125,860.0539719987623,843.1901686262377,851.6220703125,170200
2015-01-14,843.1901411576704,851.6220425692471,826.326338334517,834.7582397460938,302300
2015-01-15,834.7582669399752,851.6220703125,826.3263652537129,851.6220703125,257600
2015-01-16,834.7582397460938,834.7582397460938,817.8944369229404,834.7582397460938,220900
2015-01-19,834.758256561902,843.1901581433355,826.3263549804688,826.3263549804688,114400
2015-01-20,834.7582232666015,860.0539270019531,826.3263220214843,843.1901245117188,265700
2015-01-21,843.1901581433355,843.1901581433355,826.3263549804688,826.3263549804688,134100
2015-01-22,834.7582397460938,843.1901411576704,826.326338334517,834.7582397460938,148400
2015-01-23,843.1901411576704,843.1901411576704,826.326338334517,834.7582397460938,191100
2015-01-26,826.3263220214843,843.1901245117188,826.3263220214843,843.1901245117188,208700
2015-01-27,843.1901411576704,843.1901411576704,834.7582397460938,834.7582397460938,267600
2015-01-28,834.7583097570083,860.0540161132812,834.7583097570083,860.0540161132812,163300
2015-01-29,851.6220257568359,851.6220257568359,834.7582232666015,843.1901245117188,254800
2015-01-30,834.7582397460938,843.1901411576704,826.326338334517,834.7582397460938,312200
2015-02-02,826.326338334517,843.1901411576704,826.326338334517,834.7582397460938,134900
2015-02-03,834.758256561902,834.758256561902,817.8944533990353,826.3263549804688,179100
2015-02-04,826.3263103052514,834.7582114308151,817.8944091796875,817.8944091796875,131300
2015-02-05,826.3263549804688,834.758256561902,817.8944533990353,826.3263549804688,111000
2015-02-06,826.326338334517,834.7582397460938,817.8944369229404,834.7582397460938,113800
2015-02-09,834.7582397460938,834.7582397460938,826.326338334517,834.7582397460938,62400
2015-02-10,834.7582397460938,834.7582397460938,826.326338334517,834.7582397460938,42700
2015-02-12,834.7582232666015,851.6220257568359,834.7582232666015,843.1901245117188,290100
2015-02-13,834.7582397460938,843.1901411576704,826.326338334517,834.7582397460938,172300
2015-02-16,843.1901245117188,843.1901245117188,834.7582232666015,843.1901245117188,92400
2015-02-17,843.1901245117188,843.1901245117188,834.7582232666015,843.1901245117188,159800
2015-02-18,843.1901245117188,843.1901245117188,834.7582232666015,843.1901245117188,107400
2015-02-19,843.1901245117188,860.0539270019531,834.7582232666015,843.1901245117188,607100
2015-02-20,843.1901686262377,851.6220703125,834.7582669399752,851.6220703125,182200
2015-02-23,860.0539270019531,860.0539270019531,843.1901245117188,843.1901245117188,341600
2015-02-24,851.6221139945236,860.0540161132812,843.190211875766,860.0540161132812,252700
2015-02-25,851.6220703125,860.0539719987623,843.1901686262377,851.6220703125,123900
2015-02-26,843.1901245117188,851.6220257568359,834.7582232666015,843.1901245117188,399800
2015-02-27,851.6220425692471,851.6220425692471,834.7582397460938,834.7582397460938,221600
2015-03-02,834.7582397460938,843.1901411576704,826.326338334517,834.7582397460938,342700
2015-03-03,843.1901411576704,843.1901411576704,826.326338334517,834.7582397460938,122300
2015-03-04,834.758256561902,834.758256561902,826.3263549804688,826.3263549804688,74500
2015-03-05,826.3263549804688,834.758256561902,826.3263549804688,826.3263549804688,112200
2015-03-06,834.7582397460938,843.1901411576704,826.326338334517,834.7582397460938,194700
2015-03-09,834.758256561902,834.758256561902,826.3263549804688,826.3263549804688,118700
2015-03-10,834.758256561902,843.1901581433355,826.3263549804688,826.3263549804688,79600
2015-03-11,826.3263549804688,834.758256561902,817.8944533990353,826.3263549804688,259700
2015-03-12,826.3263549804688,834.758256561902,826.3263549804688,826.3263549804688,57600
2015-03-13,834.7582397460938,843.1901411576704,826.326338334517,834.7582397460938,273800
2015-03-16,834.758256561902,843.1901581433355,826.3263549804688,826.3263549804688,120700
2015-03-17,834.7582114308151,834.7582114308151,817.8944091796875,817.8944091796875,167800
2015-03-18,826.3263549804688,826.3263549804688,817.8944533990353,826.3263549804688,278000
2015-03-19,817.8944091796875,826.3263103052514,809.4625080541238,817.8944091796875,99300
2015-03-20,826.3263103052514,826.3263103052514,809.4625080541238,817.8944091796875,198900
2015-03-23,809.4625854492188,817.8944873809814,809.4625854492188,809.4625854492188,148200
2015-03-24,809.4625854492188,817.8944873809814,801.030683517456,809.4625854492188,472300
2015-03-25,817.8944873809814,826.3263893127441,784.1668796539307,809.4625854492188,703900
2015-03-26,792.5986173930921,801.030517578125,784.1667172080591,801.030517578125,393100
2015-03-27,801.0305948460356,801.0305948460356,775.7348918508976,792.5986938476562,274000
