Date,Open,High,Low,Close,Volume
2015-01-05,12677.847497244888,12782.564090051115,12604.069897767773,12687.3671875,364000
2015-01-06,12375.597895408164,12466.034956951531,12244.7021484375,12244.7021484375,580800
2015-01-07,12137.605884115339,12313.72016557113,12137.605884115339,12287.541015625,430800
2015-01-08,12316.09911622218,12444.614933087107,12292.299890876824,12404.15625,610800
2015-01-09,12446.995416651776,12518.393095905993,12361.318201546717,12487.4541015625,393600
2015-01-13,12444.615496923234,12737.34598193405,12332.759132732108,12720.6865234375,791600
2015-01-14,12680.228671064015,12780.185428606186,12377.978475638878,12380.3583984375,554800
2015-01-15,12375.595164572747,12694.504732275198,12347.036098808348,12644.5263671875,712000
2015-01-16,12339.89881685697,12432.715799278845,12220.902685546875,12375.59765625,890400
2015-01-19,12563.611073225635,12687.367045153602,12473.174016816736,12637.388671875,516800
2015-01-20,12713.547191752392,12811.1240234375,12689.747964512122,12811.1240234375,388400
2015-01-21,12744.487516243173,12984.859736437487,12665.95005815988,12963.4404296875,690400
2015-01-22,12994.37722120098,12994.37722120098,12680.227442226891,12744.4853515625,400400
2015-01-23,12965.81885731456,13015.797233967205,12899.181021777702,12994.3779296875,417600
2015-01-26,12851.582936391202,13146.693359375,12827.783708731218,13146.693359375,483600
2015-01-27,13187.15355487557,13348.988321475737,13170.494093607904,13346.6083984375,499600
2015-01-28,13246.64921840247,13406.104032925101,13227.609837563947,13375.1650390625,468000
2015-01-29,13232.368428424166,13282.346798387638,13141.931378014073,13275.20703125,464800
2015-01-30,13327.568452649126,13391.826371974399,13187.152999308715,13206.1923828125,638400
2015-02-02,13091.954149710276,13351.365711665996,12970.57809778604,13322.806640625,584800
2015-02-03,13798.79125096585,13822.590476993731,13615.537210551161,13667.8955078125,1064800
2015-02-04,13827.350462051618,13896.368218230533,13529.860133694225,13601.2578125,766400
2015-02-05,13601.259684666451,13817.832673521158,13572.700609213083,13779.75390625,744400
2015-02-06,13827.350017668858,13844.00947552147,13548.899079275181,13627.4365234375,678000
2015-02-09,13744.053955078125,13744.053955078125,13425.144304865058,13613.158203125,640000
2015-02-10,13586.980026555859,13627.43871642299,13360.887347886599,13439.4248046875,545200
2015-02-12,13751.19567509263,13817.833521908586,13684.557828276673,13729.7763671875,776800
2015-02-13,13774.992466566122,13846.390146938787,13686.935327439836,13758.3330078125,646800
2015-02-16,13874.94978051403,14317.615416736262,13860.670243861701,14248.59765625,713200
2015-02-17,14208.138333177161,14360.45338398509,14177.199338481802,14286.67578125,486800
2015-02-18,14350.934643881574,14767.421138521586,14348.55472105506,14753.1416015625,754400
2015-02-19,14665.083808391802,14853.097703371184,14469.930145248645,14500.869140625,796400
2015-02-20,14469.92972636816,14581.78609102923,14291.43552744092,14350.93359375,915200
2015-02-23,14517.526335622502,14541.325559123523,14212.89627480944,14284.2939453125,663200
