Date,Open,High,Low,Close,Volume,Turnover
2019-09-23,1480.0,1521.0,1332.0,1332.0,6620400,9303348800.0
2019-09-30,1272.0,1300.0,1174.0,1198.0,2544300,3092873000.0
2019-10-07,1211.0,1223.0,1023.0,1023.0,1821800,1994765700.0
2019-10-14,1041.0,1080.0,1006.0,1036.0,572500,600149500.0
2019-10-21,1022.0,1093.0,1009.0,1087.0,1040900,1094064600.0
2019-10-28,1135.0,1157.0,1080.0,1082.0,1331500,1476420900.0
2019-11-04,1085.0,1092.0,1051.0,1074.0,313700,335267900.0
2019-11-11,1077.0,1158.0,1063.0,1078.0,979700,1095803500.0
2019-11-18,1098.0,1098.0,1050.0,1066.0,447300,480696000.0
2019-11-25,1066.0,1156.0,1051.0,1156.0,1007600,1128389700.0
2019-12-02,1200.0,1225.0,1105.0,1108.0,1180900,1376378300.0
2019-12-09,1123.0,1127.0,1051.0,1060.0,509100,546700300.0
2019-12-16,1073.0,1096.0,1011.0,1014.0,755200,779968300.0
2019-12-23,1014.0,1020.0,972.0,1009.0,1081400,1075427200.0
2019-12-30,1011.0,1047.0,1011.0,1038.0,193900,201268200.0
2020-01-06,1025.0,1025.0,976.0,998.0,543100,539999400.0
2020-01-13,1000.0,1002.0,970.0,973.0,441600,431143400.0
2020-01-20,969.0,987.0,913.0,914.0,689900,654014400.0
2020-01-27,899.0,923.0,871.0,896.0,651800,590359700.0
2020-02-03,866.0,951.0,860.0,940.0,710600,649612400.0
2020-02-10,926.0,939.0,901.0,938.0,435900,403099500.0
2020-02-17,953.0,1069.0,951.0,1032.0,3180000,3205661400.0
2020-02-24,974.0,1122.0,874.0,907.0,2826400,2853497400.0
2020-03-02,947.0,1028.0,900.0,912.0,1323300,1234442600.0
2020-03-09,880.0,930.0,645.0,755.0,2475900,1984944200.0
2020-03-16,759.0,809.0,673.0,743.0,1707800,1232857500.0
2020-03-23,723.0,973.0,703.0,959.0,1724700,1543680000.0
2020-03-30,958.0,1290.0,952.0,1171.0,4933900,5648630600.0
2020-04-06,1200.0,1326.0,1154.0,1277.0,3665100,4590206600.0
2020-04-13,1302.0,1449.0,1285.0,1297.0,3242400,4382951100.0
2020-04-20,1284.0,1327.0,1195.0,1238.0,1575000,1980058300.0
2020-04-27,1268.0,1290.0,1100.0,1141.0,1053300,1244866400.0
2020-05-04,1140.0,1188.0,1120.0,1140.0,443200,510725500.0
2020-05-11,1157.0,1261.0,1103.0,1239.0,1529700,1826762900.0
2020-05-18,1359.0,1619.0,1212.0,1502.0,6454800,9299123000.0
2020-05-25,1535.0,1551.0,1336.0,1549.0,2827800,4203747500.0
2020-06-01,1609.0,1660.0,1452.0,1534.0,3677200,5856587800.0
2020-06-08,1532.0,1646.0,1455.0,1595.0,2030700,3171212600.0
2020-06-15,1602.0,1859.0,1533.0,1765.0,4852500,8403354600.0
2020-06-22,1765.0,1834.0,1691.0,1710.0,2259600,3993905700.0
2020-06-29,1681.0,1748.0,1569.0,1715.0,1911200,3183443500.0
2020-07-06,1720.0,1817.0,1615.0,1730.0,2036800,3482062000.0
2020-07-13,1706.0,1748.0,1510.0,1557.0,2590000,4138471100.0
2020-07-20,1566.0,1633.0,1520.0,1565.0,954600,1509179300.0
2020-07-27,1588.0,1616.0,1451.0,1477.0,1932500,2981370800.0
2020-08-03,1507.0,1707.0,1459.0,1651.0,1785900,2901886200.0
2020-08-10,1650.0,1684.0,1526.0,1650.0,1989000,3203662300.0
2020-08-17,1800.0,1805.0,1544.0,1630.0,7339300,11896884000.0
2020-08-24,1650.0,1790.0,1420.0,1513.0,7088000,11731371000.0
2020-08-31,1547.0,1648.0,1496.0,1549.0,3618800,5657264200.0
2020-09-07,1521.0,1533.0,1425.0,1516.0,3195300,4732427100.0
2020-09-14,1524.0,1713.0,1510.0,1650.0,5110500,8379076200.0
2020-09-21,1665.0,1756.0,1665.0,1750.0,2983400,5086966000.0
2020-09-28,1780.0,2082.0,1744.0,1964.0,6549400,12736825300.0
2020-10-05,1994.0,2312.0,1960.0,2292.0,5377000,11677306200.0
2020-10-12,2331.0,2486.0,2222.0,2346.0,4397300,10329943800.0
2020-10-19,2303.0,2624.0,2085.0,2236.0,4990200,11951432200.0
2020-10-26,2260.0,2267.0,1877.0,2079.0,5357900,11059389500.0
2020-11-02,2056.0,2302.0,1989.0,2192.0,2473100,5374113300.0
2020-11-09,2238.0,2363.0,1930.0,2190.0,4192800,8846526900.0
2020-11-16,1790.0,1813.0,1316.0,1372.0,14523800,20968515100.0
2020-11-23,1380.0,1394.0,1270.0,1306.0,6272600,8225531500.0
2020-11-30,1300.0,1470.0,1282.0,1345.0,7785800,10697368600.0
2020-12-07,1345.0,1397.0,1255.0,1351.0,3890800,5185150300.0
2020-12-14,1387.0,1474.0,1354.0,1369.0,4877000,6750006400.0
2020-12-21,1369.0,1386.0,1191.0,1234.0,3982100,4954518800.0
2020-12-28,1228.0,1285.0,1200.0,1278.0,1842000,2301400800.0
2021-01-04,1318.0,1558.0,1302.0,1488.0,7598500,11143671500.0
2021-01-11,1464.0,1499.0,1363.0,1430.0,3677600,5239138600.0
2021-01-18,1428.0,1462.0,1392.0,1420.0,1865100,2671374900.0
2021-01-25,1440.0,1577.0,1391.0,1405.0,4750600,7087079500.0
2021-02-01,1405.0,1467.0,1345.0,1450.0,2351400,3369028800.0
2021-02-08,1452.0,1461.0,1364.0,1373.0,2011200,2829007900.0
2021-02-15,1403.0,1625.0,1387.0,1411.0,7338600,11032546600.0
2021-02-22,1413.0,1424.0,1265.0,1325.0,2719700,3614942500.0
2021-03-01,1335.0,1412.0,1239.0,1260.0,2041200,2720409600.0
2021-03-08,1268.0,1277.0,1126.0,1245.0,3194300,3842551800.0
2021-03-15,1226.0,1340.0,1205.0,1313.0,1980000,2543975600.0
2021-03-22,1342.0,1365.0,1214.0,1259.0,1629900,2082772100.0
2021-03-29,1260.0,1336.0,1207.0,1324.0,1058400,1346665900.0
2021-04-05,1348.0,1440.0,1296.0,1397.0,2182300,2978147300.0
2021-04-12,1409.0,1436.0,1336.0,1401.0,1964500,2725875400.0
2021-04-19,1404.0,1427.0,1296.0,1339.0,1469300,1994428000.0
2021-04-26,1325.0,1358.0,1275.0,1283.0,926700,1209589100.0
2021-05-03,1287.0,1296.0,1218.0,1227.0,540400,666695300.0
2021-05-10,1216.0,1237.0,1088.0,1146.0,1907700,2180868300.0
2021-05-17,936.0,1068.0,914.0,1018.0,3780800,3728222000.0
2021-05-24,1016.0,1046.0,996.0,1026.0,1051600,1073403300.0
2021-05-31,1035.0,1068.0,997.0,1009.0,1334800,1365561900.0
2021-06-07,1029.0,1130.0,1011.0,1121.0,1474400,1573719500.0
2021-06-14,1123.0,1178.0,1069.0,1112.0,1302600,1461467800.0
2021-06-21,1088.0,1152.0,1075.0,1105.0,693400,769337400.0
2021-06-28,1101.0,1131.0,1051.0,1070.0,430600,468431900.0
2021-07-05,1080.0,1086.0,996.0,1031.0,777800,800498200.0
2021-07-12,1039.0,1066.0,1020.0,1029.0,597000,623143300.0
2021-07-19,1023.0,1028.0,1005.0,1008.0,312200,316230000.0
