Date,Open,High,Low,Close,Volume,Turnover
2015-01-05,520.0,590.0,500.0,520.0,2803060,1501469600.0
2015-01-12,510.0,530.0,500.0,510.0,724510,376621000.0
2015-01-19,510.0,550.0,500.0,520.0,865000,448651400.0
2015-01-26,520.0,550.0,510.0,540.0,1378720,742157600.0
2015-02-02,530.0,540.0,480.0,500.0,988020,494678000.0
2015-02-09,510.0,520.0,490.0,500.0,808280,406545300.0
2015-02-16,510.0,560.0,510.0,530.0,1799690,957402400.0
2015-02-23,530.0,540.0,500.0,530.0,970820,510799100.0
2015-03-02,530.0,530.0,490.0,500.0,1013250,508822500.0
2015-03-09,510.0,520.0,490.0,500.0,531090,267255800.0
2015-03-16,500.0,510.0,490.0,500.0,446670,221898700.0
2015-03-23,500.0,510.0,460.0,470.0,855410,412323500.0
2015-03-30,470.0,480.0,450.0,480.0,824510,385074400.0
2015-04-06,480.0,520.0,470.0,490.0,792280,399026200.0
2015-04-13,480.0,530.0,470.0,490.0,1950900,1011265100.0
2015-04-20,490.0,510.0,480.0,490.0,605310,298331100.0
2015-04-27,490.0,510.0,480.0,490.0,580990,289132000.0
2015-05-04,500.0,520.0,490.0,500.0,332170,166085000.0
2015-05-11,500.0,510.0,480.0,480.0,353310,171932000.0
2015-05-18,480.0,490.0,470.0,470.0,482930,229764200.0
2015-05-25,470.0,480.0,460.0,460.0,638870,298569800.0
2015-06-01,460.0,500.0,450.0,490.0,1094320,524388000.0
2015-06-08,480.0,530.0,470.0,500.0,1522250,756637300.0
2015-06-15,500.0,510.0,470.0,480.0,990720,475545600.0
2015-06-22,480.0,500.0,470.0,500.0,409850,200896200.0
2015-06-29,480.0,490.0,460.0,470.0,715420,337531500.0
2015-07-06,460.0,470.0,420.0,440.0,1087730,492882300.0
2015-07-13,450.0,490.0,450.0,480.0,813550,388991100.0
2015-07-20,470.0,680.0,470.0,640.0,9130840,5469737500.0
2015-07-27,680.0,780.0,530.0,560.0,17308660,11222953200.0
2015-08-03,550.0,560.0,480.0,500.0,3527660,1781952400.0
2015-08-10,500.0,510.0,460.0,470.0,2069510,991800100.0
2015-08-17,470.0,480.0,440.0,440.0,1414210,644036600.0
2015-08-24,450.0,450.0,320.0,420.0,2290430,884000800.0
2015-08-31,410.0,440.0,380.0,400.0,848530,345490900.0
2015-09-07,390.0,410.0,360.0,400.0,842810,318105000.0
2015-09-14,400.0,420.0,390.0,410.0,429710,173186700.0
2015-09-21,400.0,440.0,400.0,440.0,309470,132708700.0
2015-09-28,430.0,440.0,400.0,410.0,492290,204484800.0
2015-10-05,410.0,430.0,410.0,420.0,241910,102028000.0
2015-10-12,410.0,420.0,380.0,390.0,568480,223930900.0
2015-10-19,400.0,410.0,380.0,400.0,244850,96554100.0
2015-10-26,400.0,430.0,390.0,410.0,462880,187553100.0
2015-11-02,400.0,420.0,390.0,400.0,322730,130271800.0
2015-11-09,410.0,420.0,400.0,410.0,334210,138331400.0
2015-11-16,400.0,420.0,390.0,400.0,329010,132789700.0
2015-11-23,390.0,410.0,390.0,390.0,267670,105957300.0
2015-11-30,390.0,400.0,370.0,380.0,709440,273790600.0
2015-12-07,370.0,380.0,340.0,350.0,667350,238975500.0
2015-12-14,350.0,350.0,250.0,270.0,2021600,590349800.0
2015-12-21,270.0,300.0,250.0,260.0,820360,218388600.0
2015-12-28,250.0,300.0,250.0,300.0,616810,174916100.0
2016-01-04,280.0,360.0,280.0,290.0,1945150,624576500.0
2016-01-11,290.0,300.0,260.0,280.0,776520,216417300.0
2016-01-18,260.0,290.0,240.0,250.0,729320,194326500.0
2016-01-25,250.0,280.0,250.0,270.0,502120,131711500.0
2016-02-01,290.0,320.0,270.0,270.0,801260,226031400.0
2016-02-08,270.0,310.0,250.0,250.0,1068770,283751400.0
2016-02-15,260.0,280.0,250.0,260.0,443010,117733700.0
2016-02-22,260.0,270.0,250.0,260.0,438460,114869600.0
2016-02-29,260.0,300.0,250.0,290.0,649300,180496600.0
2016-03-07,290.0,320.0,270.0,320.0,779780,234705800.0
2016-03-14,330.0,330.0,300.0,320.0,574660,181240600.0
2016-03-21,310.0,320.0,300.0,300.0,181530,55133900.0
2016-03-28,300.0,340.0,280.0,300.0,643900,196561100.0
2016-04-04,300.0,330.0,270.0,320.0,972810,294317600.0
2016-04-11,320.0,390.0,310.0,340.0,2063880,662635000.0
2016-04-18,330.0,360.0,320.0,350.0,992490,337199500.0
2016-04-25,340.0,350.0,310.0,310.0,602410,195561600.0
2016-05-02,300.0,340.0,290.0,320.0,659250,207330300.0
2016-05-09,320.0,330.0,290.0,300.0,523690,160739100.0
2016-05-16,300.0,310.0,280.0,290.0,413670,121703100.0
2016-05-23,300.0,310.0,290.0,300.0,267300,79947500.0
2016-05-30,300.0,330.0,290.0,290.0,556040,171983500.0
2016-06-06,290.0,330.0,290.0,290.0,665140,192890600.0
2016-06-13,290.0,300.0,260.0,270.0,533440,144752600.0
2016-06-20,280.0,290.0,240.0,250.0,512410,133833600.0
2016-06-27,240.0,270.0,240.0,270.0,264460,68375000.0
2016-07-04,270.0,280.0,260.0,260.0,187340,49941100.0
2016-07-11,260.0,280.0,260.0,270.0,279900,74724000.0
2016-07-18,260.0,270.0,250.0,270.0,284000,74288200.0
2016-07-25,260.0,270.0,250.0,260.0,266840,68522100.0
2016-08-01,260.0,300.0,250.0,260.0,830300,215710500.0
2016-08-08,260.0,290.0,250.0,280.0,635940,171161400.0
2016-08-15,280.0,280.0,260.0,260.0,252870,67505800.0
2016-08-22,260.0,270.0,260.0,260.0,153590,39933400.0
2016-08-29,260.0,270.0,250.0,260.0,150140,39036400.0
2016-09-05,260.0,260.0,250.0,260.0,68870,17477100.0
2016-09-12,250.0,260.0,250.0,250.0,114460,28615000.0
2016-09-19,260.0,260.0,250.0,260.0,77540,20038600.0
2016-09-26,250.0,550.0,250.0,380.0,15704890,6699660200.0
2016-10-03,430.0,450.0,350.0,400.0,6533850,2594262300.0
2016-10-10,390.0,420.0,350.0,380.0,3341810,1242349800.0
2016-10-17,390.0,410.0,360.0,370.0,2418370,936704100.0
2016-10-24,370.0,390.0,340.0,360.0,1695000,628972100.0
2016-10-31,350.0,350.0,300.0,320.0,1934150,615418600.0
2016-11-07,320.0,330.0,270.0,310.0,1776940,521270400.0
2016-11-14,310.0,330.0,290.0,290.0,577480,179289400.0
2016-11-21,290.0,340.0,290.0,300.0,843650,266236200.0
2016-11-28,300.0,320.0,300.0,310.0,636890,195853400.0
2016-12-05,310.0,310.0,290.0,300.0,518130,155972700.0
2016-12-12,300.0,330.0,290.0,310.0,477080,149021100.0
2016-12-19,300.0,420.0,300.0,320.0,5907010,2009701600.0
2016-12-26,310.0,360.0,300.0,330.0,2665430,874599400.0
2017-01-02,330.0,350.0,310.0,320.0,949970,315529700.0
2017-01-09,330.0,340.0,310.0,340.0,647390,210954000.0
2017-01-16,330.0,380.0,310.0,330.0,3890610,1353979500.0
2017-01-23,340.0,340.0,310.0,320.0,959090,307486500.0
2017-01-30,320.0,360.0,310.0,320.0,1285140,418829300.0
2017-02-06,330.0,330.0,310.0,320.0,412950,129781500.0
2017-02-13,320.0,370.0,310.0,370.0,3081040,1114379800.0
2017-02-20,360.0,360.0,320.0,320.0,1658220,549974500.0
2017-02-27,330.0,330.0,310.0,320.0,859390,275004800.0
2017-03-06,320.0,330.0,310.0,310.0,431900,136503800.0
2017-03-13,310.0,320.0,300.0,310.0,569410,176517100.0
2017-03-20,300.0,310.0,290.0,300.0,628650,188595000.0
2017-03-27,300.0,310.0,280.0,280.0,633540,183242100.0
2017-04-03,280.0,290.0,270.0,280.0,495520,139617700.0
2017-04-10,290.0,290.0,250.0,260.0,657140,172387200.0
2017-04-17,260.0,280.0,260.0,270.0,300840,81427100.0
2017-04-24,270.0,280.0,260.0,280.0,173720,47125400.0
2017-05-01,270.0,280.0,260.0,270.0,79120,21362400.0
2017-05-08,270.0,290.0,270.0,280.0,348970,99873400.0
2017-05-15,280.0,300.0,270.0,280.0,539240,154100900.0
2017-05-22,280.0,290.0,270.0,280.0,235450,65926000.0
2017-05-29,270.0,280.0,270.0,270.0,82230,22291000.0
2017-06-05,270.0,330.0,270.0,290.0,3442010,1028891200.0
2017-06-12,290.0,310.0,280.0,280.0,913280,268734700.0
2017-06-19,290.0,290.0,260.0,280.0,1052360,295670900.0
2017-06-26,270.0,300.0,270.0,290.0,643980,184283400.0
2017-07-03,300.0,310.0,280.0,310.0,1049510,320684900.0
2017-07-10,310.0,320.0,290.0,300.0,1160870,356410200.0
2017-07-17,300.0,310.0,290.0,300.0,310100,93889200.0
2017-07-24,300.0,310.0,290.0,290.0,756760,229941200.0
2017-07-31,290.0,300.0,270.0,280.0,1007230,282774500.0
2017-08-07,280.0,290.0,270.0,280.0,438940,122903200.0
2017-08-14,270.0,310.0,270.0,280.0,1127190,320230000.0
2017-08-21,280.0,280.0,270.0,270.0,312830,85065200.0
2017-08-28,270.0,290.0,270.0,270.0,544990,149758700.0
2017-09-04,270.0,280.0,260.0,260.0,432920,114065100.0
2017-09-11,260.0,280.0,260.0,270.0,414350,111008300.0
2017-09-18,270.0,280.0,260.0,270.0,343710,94056600.0
2017-09-25,260.0,280.0,260.0,270.0,353620,96167600.0
2017-10-02,270.0,280.0,260.0,270.0,483940,130663800.0
2017-10-09,270.0,280.0,260.0,270.0,345500,93603500.0
2017-10-16,270.0,280.0,260.0,270.0,341460,91993000.0
2017-10-23,270.0,290.0,270.0,270.0,367160,102416100.0
2017-10-30,280.0,290.0,270.0,290.0,368870,103634100.0
2017-11-06,290.0,300.0,280.0,300.0,475760,138822500.0
2017-11-13,300.0,310.0,280.0,290.0,667100,197724900.0
2017-11-20,300.0,310.0,290.0,310.0,282370,86867600.0
2017-11-27,300.0,370.0,300.0,340.0,4329130,1413235900.0
2017-12-04,350.0,360.0,310.0,340.0,2265670,748918800.0
2017-12-11,330.0,380.0,330.0,350.0,2745620,957546600.0
2017-12-18,350.0,360.0,320.0,320.0,1165660,398259300.0
2017-12-25,320.0,340.0,300.0,310.0,1048190,332434900.0
2018-01-01,310.0,340.0,310.0,330.0,365100,120483000.0
2018-01-08,330.0,360.0,330.0,340.0,940140,323049000.0
2018-01-15,330.0,410.0,330.0,340.0,4829470,1749754700.0
2018-01-22,350.0,360.0,340.0,340.0,1079370,371789800.0
2018-01-29,340.0,350.0,320.0,330.0,583200,195266600.0
2018-02-05,330.0,330.0,300.0,310.0,920440,282517100.0
2018-02-12,310.0,340.0,310.0,330.0,779020,258068300.0
2018-02-19,320.0,330.0,310.0,310.0,467720,145448300.0
2018-02-26,310.0,340.0,300.0,320.0,1832260,594296900.0
2018-03-05,320.0,330.0,310.0,320.0,720050,227538800.0
2018-03-12,320.0,370.0,310.0,360.0,2328550,815130500.0
2018-03-19,350.0,370.0,290.0,300.0,3503800,1124003600.0
2018-03-26,300.0,340.0,290.0,300.0,2483590,762375500.0
2018-04-02,300.0,300.0,270.0,280.0,1364990,395918200.0
2018-04-09,270.0,290.0,270.0,290.0,982360,277588400.0
2018-04-16,280.0,290.0,260.0,270.0,1285020,351711200.0
2018-04-23,260.0,280.0,260.0,270.0,435480,118811100.0
2018-04-30,270.0,280.0,260.0,270.0,255240,71050200.0
2018-05-07,270.0,280.0,260.0,270.0,406660,110198400.0
2018-05-14,270.0,280.0,250.0,250.0,769990,200315900.0
2018-05-21,260.0,270.0,250.0,250.0,499580,129687300.0
2018-05-28,250.0,260.0,240.0,250.0,696650,177392100.0
2018-06-04,250.0,260.0,240.0,250.0,529000,132250000.0
2018-06-11,250.0,250.0,230.0,240.0,533020,127924800.0
2018-06-18,230.0,240.0,200.0,210.0,1264220,274542900.0
2018-06-25,210.0,260.0,210.0,230.0,1005550,234861600.0
2018-07-02,240.0,240.0,200.0,220.0,652640,142897600.0
2018-07-09,210.0,240.0,200.0,230.0,522720,114001900.0
2018-07-16,230.0,240.0,220.0,230.0,316080,72698400.0
2018-07-23,220.0,260.0,220.0,250.0,1078040,262406200.0
2018-07-30,260.0,270.0,250.0,260.0,732910,190799900.0
2018-08-06,260.0,270.0,230.0,260.0,627670,159129500.0
2018-08-13,260.0,260.0,230.0,240.0,334260,81302900.0
2018-08-20,240.0,240.0,210.0,220.0,668290,146786000.0
2018-08-27,220.0,240.0,200.0,210.0,1532580,326474900.0
2018-09-03,210.0,210.0,190.0,200.0,495800,100363300.0
2018-09-10,200.0,210.0,190.0,200.0,348300,70221800.0
2018-09-17,200.0,210.0,190.0,200.0,413920,82784000.0
2018-09-24,200.0,210.0,190.0,200.0,384290,76858000.0
2018-10-01,210.0,210.0,190.0,200.0,566630,113326000.0
2018-10-08,200.0,220.0,190.0,200.0,854210,175029600.0
2018-10-15,200.0,210.0,180.0,190.0,773930,150203800.0
2018-10-22,190.0,200.0,180.0,190.0,297160,56460400.0
2018-10-29,180.0,200.0,170.0,190.0,441280,80506200.0
2018-11-05,190.0,200.0,190.0,190.0,103160,19987200.0
2018-11-12,200.0,200.0,180.0,180.0,355980,68266900.0
2018-11-19,180.0,190.0,170.0,190.0,227150,41314800.0
2018-11-26,180.0,200.0,180.0,200.0,303430,60214000.0
2018-12-03,200.0,200.0,180.0,180.0,327780,61239500.0
2018-12-10,190.0,190.0,180.0,190.0,209630,38933500.0
2018-12-17,190.0,190.0,140.0,150.0,874650,135164900.0
2018-12-24,150.0,160.0,130.0,140.0,703590,95788600.0
2018-12-31,140.0,160.0,140.0,160.0,86110,13777600.0
2019-01-07,170.0,180.0,160.0,180.0,222230,38178100.0
2019-01-14,170.0,210.0,170.0,200.0,540900,104322300.0
2019-01-21,200.0,200.0,180.0,190.0,246740,44898600.0
2019-01-28,190.0,200.0,180.0,200.0,310810,60075500.0
2019-02-04,200.0,210.0,180.0,190.0,381030,74491600.0
2019-02-11,190.0,200.0,180.0,190.0,140320,26660800.0
2019-02-18,180.0,190.0,160.0,160.0,317170,53946100.0
2019-02-25,160.0,190.0,150.0,150.0,1426310,239948400.0
2019-03-04,150.0,160.0,140.0,140.0,293200,43022500.0
2019-03-11,140.0,150.0,130.0,150.0,254730,36435400.0
2019-03-18,150.0,150.0,140.0,140.0,101680,14649800.0
2019-03-25,140.0,150.0,130.0,140.0,454870,64087100.0
2019-04-01,140.0,145.0,101.0,130.0,1095150,140217700.0
2019-04-08,140.0,174.0,131.0,133.0,3641300,562983500.0
2019-04-15,133.0,135.0,126.0,128.0,286900,37142100.0
2019-04-22,128.0,130.0,123.0,130.0,194300,24393500.0
2019-05-06,129.0,129.0,118.0,119.0,151900,18420200.0
2019-05-13,119.0,149.0,112.0,116.0,1324000,172449600.0
2019-05-20,118.0,170.0,118.0,139.0,9835700,1440322700.0
2019-05-27,135.0,161.0,131.0,135.0,2850000,405768300.0
2019-06-03,132.0,147.0,127.0,133.0,1077500,144686300.0
2019-06-10,134.0,145.0,133.0,140.0,931300,130349000.0
2019-06-17,139.0,139.0,130.0,131.0,602700,80185600.0
2019-06-24,130.0,131.0,123.0,125.0,505100,63499400.0
2019-07-01,127.0,132.0,127.0,131.0,325900,42268600.0
2019-07-08,131.0,145.0,128.0,134.0,1979700,265105800.0
2019-07-15,132.0,132.0,125.0,125.0,441700,56546300.0
2019-07-22,125.0,127.0,124.0,126.0,168700,21172300.0
2019-07-29,126.0,128.0,123.0,123.0,280900,35079000.0
2019-08-05,123.0,125.0,117.0,122.0,389200,46916700.0
2019-08-12,122.0,123.0,116.0,121.0,244200,29102300.0
2019-08-19,120.0,123.0,119.0,122.0,326900,39692100.0
2019-08-26,120.0,136.0,117.0,122.0,2060000,248764100.0
2019-09-02,120.0,125.0,120.0,122.0,352600,43293600.0
2019-09-09,122.0,123.0,120.0,121.0,270200,32765900.0
2019-09-16,120.0,125.0,120.0,122.0,358300,43922400.0
2019-09-23,121.0,122.0,120.0,120.0,182500,22007800.0
2019-09-30,120.0,122.0,120.0,120.0,167400,20178000.0
2019-10-07,120.0,122.0,118.0,118.0,281100,33476300.0
2019-10-14,118.0,119.0,117.0,117.0,180700,21190700.0
2019-10-21,118.0,120.0,117.0,119.0,212700,25143900.0
2019-10-28,119.0,128.0,118.0,124.0,1225200,150738600.0
2019-11-04,125.0,125.0,121.0,123.0,265600,32554000.0
2019-11-11,123.0,126.0,115.0,117.0,900600,107671000.0
2019-11-18,117.0,117.0,113.0,115.0,356900,40921400.0
2019-11-25,115.0,116.0,114.0,114.0,260200,29829500.0
2019-12-02,114.0,119.0,114.0,116.0,810900,93383700.0
2019-12-09,117.0,121.0,115.0,115.0,519300,60463000.0
2019-12-16,116.0,117.0,114.0,114.0,337900,38647600.0
2019-12-23,115.0,116.0,113.0,115.0,538000,61405300.0
2019-12-30,114.0,114.0,112.0,113.0,140700,15899100.0
2020-01-06,112.0,115.0,112.0,113.0,428400,48445100.0
2020-01-13,114.0,119.0,113.0,117.0,408900,47457700.0
2020-01-20,119.0,120.0,116.0,117.0,359200,42298200.0
2020-01-27,116.0,116.0,112.0,112.0,432800,48805400.0
2020-02-03,111.0,114.0,110.0,113.0,281500,31589300.0
2020-02-10,113.0,113.0,109.0,109.0,283800,31239500.0
2020-02-17,108.0,108.0,96.0,96.0,598300,59890400.0
2020-02-24,86.0,89.0,66.0,66.0,1490600,114436800.0
2020-03-02,70.0,76.0,69.0,69.0,816700,59635400.0
2020-03-09,66.0,67.0,44.0,49.0,1704000,91672300.0
2020-03-16,48.0,52.0,46.0,49.0,337300,16358500.0
2020-03-23,50.0,54.0,47.0,51.0,449800,23431800.0
2020-03-30,51.0,52.0,45.0,46.0,345700,16198300.0
2020-04-06,46.0,78.0,45.0,60.0,9024800,582719700.0
2020-04-13,60.0,62.0,57.0,59.0,930300,54783600.0
2020-04-20,60.0,62.0,54.0,56.0,554400,31603600.0
2020-04-27,56.0,59.0,55.0,56.0,284900,15954400.0
2020-05-04,56.0,59.0,56.0,58.0,259500,15051000.0
2020-05-11,58.0,75.0,58.0,62.0,3203600,208295500.0
2020-05-18,60.0,67.0,60.0,63.0,581700,36052000.0
2020-05-25,64.0,70.0,64.0,68.0,1261400,84670300.0
2020-06-01,68.0,97.0,66.0,77.0,11675700,1005879500.0
2020-06-08,79.0,85.0,70.0,72.0,2063700,159197500.0
2020-06-15,74.0,77.0,72.0,75.0,668300,48978900.0
2020-06-22,75.0,81.0,75.0,77.0,809000,63296400.0
2020-06-29,75.0,88.0,71.0,73.0,3310600,241958200.0
2020-07-06,73.0,78.0,72.0,73.0,959700,71866800.0
2020-07-13,74.0,76.0,72.0,72.0,372100,27497500.0
2020-07-20,72.0,76.0,69.0,70.0,671400,47563900.0
2020-07-27,71.0,71.0,60.0,60.0,637100,41132200.0
2020-08-03,61.0,70.0,61.0,65.0,631800,41828600.0
2020-08-10,66.0,69.0,63.0,65.0,546800,36169700.0
2020-08-17,66.0,68.0,65.0,67.0,296400,19724900.0
2020-08-24,67.0,70.0,65.0,67.0,499800,33655200.0
2020-08-31,66.0,69.0,66.0,67.0,259000,17439900.0
2020-09-07,67.0,77.0,65.0,76.0,1380300,100717200.0
2020-09-14,78.0,83.0,68.0,70.0,2753000,194130200.0
2020-09-21,71.0,75.0,69.0,70.0,361800,25388800.0
2020-09-28,69.0,72.0,68.0,69.0,256400,17753700.0
2020-10-05,69.0,71.0,68.0,68.0,215900,14776200.0
2020-10-12,70.0,70.0,67.0,68.0,137100,9322800.0
2020-10-19,67.0,67.0,64.0,65.0,219400,14348400.0
2020-10-26,64.0,65.0,59.0,60.0,320300,19791800.0
2020-11-02,60.0,61.0,59.0,60.0,201700,12147300.0
2020-11-09,60.0,71.0,59.0,62.0,1913500,129463700.0
2020-11-16,63.0,63.0,59.0,61.0,491500,30236600.0
2020-11-23,61.0,63.0,60.0,62.0,262000,16204900.0
