Date,Open,High,Low,Close,Volume,Turnover
2015-01-05,2605.4986026219417,2938.229484859398,2578.6654221488247,2876.51318359375,5293500,14556705057.055664
2015-01-12,2836.2637113935416,2876.512838609379,2661.8488645737643,2873.82958984375,4879200,13659608257.983398
2015-01-19,2884.5633060669206,2935.546700439006,2828.2136960174994,2852.363037109375,4088100,11790830194.40918
2015-01-26,2841.6304756887585,2997.262378412566,2828.213835694247,2916.762939453125,2467800,7209612714.624023
2015-02-02,2863.097124155003,2892.613457655872,2667.2147782393863,2704.78125,4305600,11835320215.136719
2015-02-09,2857.7305496570675,2857.7305496570675,2680.6317987698226,2817.480224609375,3505500,9687468048.85254
2015-02-16,2820.164440968968,2846.9964275573107,2696.731267742885,2763.813232421875,2791200,7721680619.897461
2015-02-23,2763.8138737166187,2978.4790754066257,2755.7637552957217,2951.64599609375,3650700,10584157785.205078
2015-03-02,2946.279709937134,3142.161520735713,2908.713236467392,3139.478271484375,4019700,12305942751.5625
2015-03-09,3109.9618854073174,3354.143047177351,2983.846086151386,3335.360107421875,4495200,14292534599.63379
2015-03-16,3329.9931166805245,3477.5755431276816,3254.8606357882954,3300.47705078125,4485000,15062419932.055664
2015-03-23,3359.5098433424428,3461.475662056218,3223.442849249413,3282.885986328125,5341800,18079688709.155273
2015-03-30,3288.289036978548,3366.6460299447426,3204.528617482046,3315.3095703125,3694200,12144181303.051758
2015-04-06,3309.9053990128127,3390.9643250361555,3293.6937221285343,3342.328857421875,3105600,10351955033.789062
2015-04-13,3404.473605324056,3480.128706263053,3007.28571016045,3015.3916015625,5836200,18587629527.83203
2015-04-20,2985.669588847288,3212.63443165829,2928.928355588395,3042.411376953125,4742100,14626244591.894531
2015-04-27,3039.708940469601,3039.708940469601,2839.764175258896,2872.187744140625,3600600,10588157535.058594
2015-05-04,2872.186827923479,2958.650006492839,2853.2731514084508,2939.736328125,1438500,4175005127.34375
2015-05-11,2985.668998863618,3266.6740987758444,2937.033665680875,3209.932861328125,5231400,16428220315.20996
2015-05-18,3209.9329552283657,3220.7406234302694,3082.9403606555625,3163.999267578125,2950800,9326394401.733398
2015-05-25,3166.700916102652,3277.4812703227444,3120.767778219636,3134.27783203125,3030900,9591717743.408203
2015-06-01,3093.7483044870028,3139.6809890562545,3034.3053004960907,3066.728759765625,3492900,10763981946.75293
2015-06-08,3074.834332433604,3091.046113093004,2723.579227764182,2737.089111328125,8568600,24259737754.32129
2015-06-15,2701.9631880173424,2804.6382080798303,2666.8382778252644,2723.578857421875,6297900,17135228975.024414
2015-06-22,2731.6853684645434,2877.590930279524,2710.069592362413,2826.25390625,4351800,12249066511.96289
2015-06-29,2728.9834706634283,2799.2344817594258,2688.4537158791927,2734.386962890625,4746000,12971600894.018555
2015-07-06,2696.559443031139,2726.2811102071387,2493.9123329225013,2537.143310546875,4143600,10883737411.59668
2015-07-13,2534.441440382628,2785.7244392408406,2529.037448245268,2699.261962890625,4727100,12661435543.432617
2015-07-20,2704.6657120632917,2801.9364046302303,2653.3282504878325,2666.838134765625,2566800,6989956500.292969
2015-07-27,2629.010530320652,2664.1364025203675,2493.9120149557666,2591.18310546875,3293400,8448410637.963867
2015-08-03,2591.18327089936,2677.6459234492213,2461.488550847471,2493.912109375,6373800,16171440229.614258
2015-08-10,2458.786282017643,2612.798755314027,2447.978495904488,2601.990966796875,5071500,12859783816.625977
2015-08-17,2580.374748753377,2593.8846305031448,2423.660741705644,2464.190185546875,3565800,8988552397.851562
2015-08-24,2393.939353484532,2572.269392946126,2253.437365625075,2553.355712890625,5174400,12402755316.28418
2015-08-31,2512.8265864030354,2539.8461611511266,2283.1595136126366,2326.390869140625,3623400,8674054910.961914
2015-09-07,2293.967303020198,2493.9120978981027,2261.542847060387,2331.7939453125,4589400,10912204440.673828
2015-09-14,2320.9864620153376,2585.779171106141,2307.4766969536868,2526.33642578125,5802600,14278477070.507812
2015-09-21,2420.959406273351,2445.2770782184034,2315.5825424053014,2410.151123046875,1449900,3496347628.491211
2015-09-28,2408.787533022418,2504.265960543563,2264.205772392469,2452.434814453125,4340700,10248440052.685547
2015-10-05,2482.4426881961963,2643.3919928606706,2479.7147957255543,2632.480224609375,3162000,8129246017.895508
2015-10-12,2605.200763477564,2719.774598260956,2602.47287109375,2689.767333984375,4313100,11522530340.99121
2015-10-19,2708.862863907848,2984.3860861762696,2673.39946904737,2973.47412109375,6261900,17995908600.146484
2015-10-26,2987.114599634136,3044.4015773638257,2921.643818965634,3030.76171875,4475400,13392331741.992188
2015-11-02,3000.7545298725777,3068.9534887641,2760.694161618793,2943.467529296875,4704600,14015985446.63086
2015-11-09,2943.4678301465447,3118.056942647599,2921.643245783508,3104.416748046875,4439700,13559666967.407227
2015-11-16,3049.8582500550515,3123.51249236802,3008.93846491771,3077.137939453125,2630400,8046883004.370117
2015-11-23,3077.136681943782,3270.822246211515,3041.674342171161,3221.718994140625,3749100,11867583464.0625
2015-11-30,3221.719226693383,3270.822438896853,3180.800552224505,3238.08740234375,3304800,10709291750.53711
2015-12-07,3248.9990658906377,3344.4773549319048,3153.519816800183,3251.726318359375,4141800,13547557369.921875
2015-12-14,3158.975659688314,3306.2866111288267,3109.8724110921225,3142.60791015625,4311000,13681278514.892578
2015-12-21,3109.8733217224744,3164.432176193226,3044.401926125363,3049.85791015625,1422600,4403514624.462891
2015-12-28,3082.592664647057,3169.888093850533,3071.680699240507,3137.152587890625,1119300,3500420141.1621094
2016-01-04,3120.784834877005,3148.0645563777484,2869.8120365686887,2918.915283203125,3033300,9031745587.13379
2016-01-11,2861.6284929578947,2908.003885425813,2760.6944543998025,2828.89306640625,3269400,9283435495.166016
2016-01-18,2738.869963293184,2913.4601348467027,2711.5902494477573,2908.004150390625,3532800,9966905810.742188
2016-01-25,2948.923352000704,3096.232676195518,2826.1653534906623,3082.593017578125,4270500,12770369961.18164
2016-02-01,3112.6013516184503,3262.639239422602,2927.099904473684,2968.019287109375,5261400,16384420949.707031
2016-02-08,2935.2833730599014,3068.9532711587103,2561.5533822173047,2599.744873046875,5490300,15349928432.299805
2016-02-15,2727.958620100528,2935.283833722005,2665.2157035075106,2820.709228515625,5353500,15069992980.004883
2016-02-22,2807.070054251536,3006.210671789952,2760.6941945687163,2842.532958984375,3834300,10967818767.114258
2016-02-29,2897.0921739527266,2929.827544303937,2730.6867119883364,2845.2607421875,4434600,12654475145.361328
2016-03-07,2845.260667627273,2883.451951889626,2708.8629179672294,2815.25390625,5208000,14691345697.11914
2016-03-14,2869.8125048638417,2880.7242726293102,2567.0096327463025,2605.200927734375,6013200,16376911045.166016
2016-03-21,2646.1200397336925,2714.319144747548,2550.6413085706085,2572.46484375,3371700,8793251828.90625
2016-03-28,2575.19356376695,2731.557337916535,2561.5537011008832,2608.53955078125,4535400,11914658235.644531
2016-04-04,2591.7647259051982,2675.640607002454,2485.521877966096,2622.519287109375,5208300,13404367917.333984
2016-04-11,2616.927165503641,2876.942467573489,2549.8264689522653,2787.474853515625,5148900,14191886315.478516
