Date,Open,High,Low,Close,Volume,Turnover
2022-12-19,521.0,561.0,421.0,467.0,34712200,16760947000.0
2022-12-26,461.0,480.0,403.0,415.0,5287000,2309401900.0
2023-01-02,410.0,485.0,401.0,437.0,8436100,3697687500.0
2023-01-09,437.0,512.0,434.0,480.0,9499600,4444481100.0
2023-01-16,488.0,518.0,430.0,435.0,8574200,3903214000.0
2023-01-23,437.0,494.0,436.0,451.0,3157100,1463991900.0
2023-01-30,450.0,472.0,440.0,451.0,1061800,480666700.0
2023-02-06,454.0,693.0,451.0,630.0,35768900,21665889700.0
2023-02-13,650.0,796.0,634.0,662.0,34312700,24128861300.0
2023-02-20,662.0,712.0,610.0,612.0,5759300,3731650800.0
2023-02-27,621.0,725.0,595.0,684.0,8184700,5515743700.0
2023-03-06,704.0,927.0,682.0,772.0,30176100,24831377500.0
2023-03-13,772.0,836.0,708.0,816.0,4432900,3444690300.0
2023-03-20,815.0,915.0,800.0,800.0,7131900,5999028400.0
2023-03-27,822.0,825.0,655.0,698.0,5096700,3663232400.0
2023-04-03,688.0,724.0,642.0,644.0,2436500,1641135600.0
2023-04-10,653.0,722.0,650.0,708.0,2576300,1815800600.0
2023-04-17,696.0,702.0,576.0,587.0,2933600,1872863900.0
2023-04-24,595.0,602.0,535.0,549.0,1316400,735745200.0
2023-05-01,559.0,629.0,554.0,587.0,1625300,949367100.0
2023-05-08,617.0,627.0,555.0,560.0,1094400,646127900.0
2023-05-15,554.0,586.0,543.0,559.0,958300,533084300.0
2023-05-22,562.0,588.0,540.0,540.0,738200,411365700.0
2023-05-29,548.0,551.0,505.0,517.0,585300,306763700.0
2023-06-05,525.0,564.0,517.0,541.0,858600,464947000.0
2023-06-12,547.0,558.0,509.0,527.0,890000,468954000.0
2023-06-19,533.0,560.0,524.0,531.0,831000,451444900.0
2023-06-26,526.0,534.0,503.0,532.0,540600,281620700.0
2023-07-03,540.0,541.0,515.0,517.0,487300,256292400.0
2023-07-10,517.0,522.0,473.0,480.0,968200,471500200.0
2023-07-17,480.0,516.0,478.0,500.0,513300,256412100.0
2023-07-24,508.0,543.0,502.0,520.0,501000,261570900.0
2023-07-31,521.0,533.0,502.0,507.0,259900,133811100.0
2023-08-07,507.0,513.0,491.0,495.0,227000,113384100.0
2023-08-14,487.0,491.0,445.0,457.0,499700,234982900.0
2023-08-21,457.0,488.0,456.0,481.0,412900,194514800.0
