Date,Open,High,Low,Close,Volume,Turnover
2015-01-05,320.99789941020515,325.2523447304199,302.2782705017132,305.4690856933594,44966000,13991674648.706055
2015-01-12,296.9602427334133,297.8111316810735,276.75163569646827,283.98419189453125,40399200,11617449568.444824
2015-01-19,294.83300370132366,295.8966148257873,285.0477813562581,292.4930725097656,29869200,8635500644.726562
2015-01-26,289.940353975268,323.12504182038487,286.74954667163775,321.635986328125,39316000,12001820519.32373
2015-02-02,317.16881636942713,324.1886982164885,306.7454594293356,321.4232482910156,39328800,12385084641.723633
2015-02-09,324.8267358302445,328.0176641001092,313.7652753227373,325.03955078125,25425200,8254266712.6953125
2015-02-16,322.9123963827289,338.4410115143869,319.72148640950525,321.635986328125,32350000,10557525471.801758
2015-02-23,326.74139610389614,339.93012176340164,324.40145120992287,336.7392883300781,27332800,9131861108.630371
2015-03-02,338.22839458983145,340.1429154490696,326.9540732233343,338.6538391113281,23053200,7707384541.235352
2015-03-09,335.2502160007848,338.6537714931785,323.7632854377559,337.5901794433594,38020400,12647422836.645508
2015-03-16,335.03749604859104,344.8227006114788,324.61410508705427,333.7611694335937,37503200,12491593804.064941
2015-03-23,334.3993202329056,356.94788396795235,324.29591455848083,325.7943115234375,41106000,14004084996.45996
2015-03-30,321.08510368948026,330.9318163773196,314.8774923512488,317.4461364746094,37617200,12071326230.175781
2015-04-06,315.7337535982546,322.5835785665378,311.88073152044547,320.8711242675781,26307200,8394142066.870117
2015-04-13,324.72404712136296,333.9284437347313,304.17464958639704,309.31201171875,37302000,11910275206.408691
2015-04-20,306.10117777183126,335.42693698467986,305.88712100415864,323.4397277832031,35826400,11526316034.70459
2015-04-27,324.7240654295229,325.1521788974589,290.4749549248315,296.2544860839844,45392000,13818556021.228027
2015-05-04,296.2545038319541,302.03406580588995,291.3311992162497,300.7497253417969,19847200,5882915189.6484375
2015-05-11,305.2449562456355,310.3822584139031,300.53564883663444,302.2480773925781,30256000,9253398890.05127
2015-05-18,299.8935088362824,307.1714383869131,296.4685824236745,302.0340576171875,26177600,7931875568.9453125
2015-05-25,302.03407988618943,318.9446125480061,300.9638144578953,317.87432861328125,32248400,10030799234.716797
2015-06-01,316.3759232299972,316.3759232299972,297.9669782765524,301.39190673828125,27725600,8412575741.479492
2015-06-08,303.10435603215143,304.81681002103363,283.62513819972315,286.8360595703125,45302000,13111002842.614746
2015-06-15,284.2673211348684,286.83600174753286,268.8552581907732,270.7817687988281,34632400,9546558823.10791
2015-06-22,270.9958414041771,287.264115182977,269.7115009235886,279.55810546875,40684000,11389486232.006836
2015-06-29,270.78181792528204,277.2034429193853,266.92879601013965,273.56451416015625,38911200,10519074920.239258
2015-07-06,268.4272351162039,275.70515416880124,251.9447305235571,263.5038146972656,51966400,13778289054.370117
2015-07-13,263.28975157304245,276.7753859609481,262.21946803006256,265.21630859375,41728800,11229809671.154785
2015-07-20,265.2162700607116,267.5708939272716,253.4431289916684,254.51341247558597,27806000,7215446244.036865
2015-07-27,248.3058289793861,251.08856671794825,224.7595733471131,232.2515106201172,80824000,18907698149.438477
2015-08-03,230.111015449136,231.60938071139037,220.90653828369847,229.8969268798828,48518000,11030322544.915771
2015-08-10,227.5422853640656,239.9576085711005,224.97363008363416,229.25474548339844,48616800,11171432531.604004
2015-08-17,229.4688420901153,235.67645856122067,209.7756153933272,210.41778564453125,52419200,11520980695.025635
2015-08-24,203.99605919426952,221.76274570685527,193.72134833500303,218.5518951416016,82932400,17304083610.876465
2015-08-31,216.41138075608475,217.6957212946965,193.0791734967913,194.5775909423828,109435200,22161963554.46167
2015-09-07,194.57759657183897,213.41459141976932,192.65108571469204,199.07278442382807,76533200,15461472813.76953
2015-09-14,199.71496492371332,209.13342619681924,195.2197727871668,200.57113647460935,44351200,8905348296.551514
2015-09-21,197.3603319245069,198.85872923846736,189.65429186715957,194.3635406494141,23611600,4545921375.616456
2015-09-28,193.4977509690633,196.96079796627248,182.02641190253752,189.8182678222656,59834400,11187434725.195312
2015-10-05,193.06488237337828,212.11163330078125,190.68403741137476,212.11163330078125,58057200,11797423255.34668
2015-10-12,206.7006103515625,214.05958985364424,201.0731640208111,213.626708984375,39131600,8183942758.947754
2015-10-19,215.35825520075133,221.6350358201581,207.9992796461528,219.03775024414065,46660000,10024774490.112305
2015-10-26,222.71721987570484,225.3145052386868,202.1553936515887,210.16368103027344,90088800,18986088451.47705
2015-11-02,207.7828056867733,211.67875077197112,203.67043765755588,206.7005920410156,29800400,6169654009.558105
2015-11-09,208.432154864429,225.7473872496496,207.9992739612838,217.9555206298828,47176000,10401344753.277588
2015-11-16,214.49247072291348,241.1147091152432,213.19382811510573,237.4351806640625,66409200,15332779501.45874
2015-11-23,238.08450783548304,248.90648364601373,236.13654368046545,246.0927581787109,32330800,7915013826.837158
2015-11-30,244.5776929497079,249.9886633123009,238.95025750550477,239.59957885742188,36065600,8803081248.57788
2015-12-07,245.8762748367795,247.60779789901036,232.0242123121228,237.86805725097656,41384800,9864829697.937012
2015-12-14,231.80772284175572,241.11471168466863,225.09811503775168,225.7474365234375,42704000,9745063285.638428
2015-12-21,222.93366341098243,225.53097651208748,217.7390926130566,220.11996459960935,19899200,4410593974.523925
2015-12-28,216.4404518712012,225.74740464885244,216.4404518712012,219.03775024414065,15310400,3375652388.5131836
2016-01-04,212.7610009938729,215.14181000331664,199.1252165020637,206.48419189453125,69198000,14319416405.438232
2016-01-11,204.75266167891647,216.87333031615572,202.5882572214227,207.5663909912109,44842800,9361467100.219727
2016-01-18,202.1553945067068,213.41030781734597,198.25946613291583,211.4623107910156,43315200,8914307424.908447
2016-01-25,212.5445306104658,241.9804624245384,203.0211151543756,239.1666412353516,89270800,20480201624.578857
2016-02-01,241.54750934691415,247.39140070208143,225.31446923712417,228.3446350097656,48570800,11466785153.399658
2016-02-08,226.3966761404887,241.11462449379005,206.48416992187495,211.0294189453125,56077600,12450684684.70459
2016-02-15,216.8733468014019,229.85972392251043,214.4924682253161,217.73907470703125,49258000,10944815449.273682
2016-02-22,217.30622129858992,235.70368326668927,216.44045946074692,228.777587890625,31148000,7038082551.702881
2016-02-29,229.42687929138657,237.65165942830777,217.08976667355267,235.92013549804688,41150000,9358935339.0625
2016-03-07,238.08449222307604,241.9804202776355,223.79938635080345,231.5912322998047,46602000,10819012221.575928
2016-03-14,235.0543806211676,253.88456899959715,234.62143237348917,239.8160400390625,40536400,9787317429.25415
2016-03-21,245.2270111464435,246.95853461437957,226.8295642780808,229.4268493652344,24376400,5738458878.460693
2016-03-28,232.2405654616583,233.59960807045417,213.2770667586487,214.3696746826172,30171200,6741289794.873047
2016-04-04,213.9326371703724,217.64750421010305,201.47689451812417,213.277099609375,36900800,7702897177.124023
2016-04-11,212.62153525328023,234.0366704840409,206.72145154121597,228.1365966796875,41564800,9384038798.85254
2016-04-18,220.48830139648925,242.34044025000352,216.77343407860985,241.68487548828125,39184000,9087796369.39087
2016-04-25,242.12197875976565,250.2072242161013,230.9773240143398,231.6328887939453,54387600,12880627869.140625
2016-05-02,225.0772409401979,230.32181312297956,220.051244297844,228.1365966796875,23658400,5356247388.793945
2016-05-09,229.44768652642324,239.28117592820843,224.42170564225572,225.0772705078125,38822800,8957310760.437012
2016-05-16,226.60693794928332,253.48507790573728,226.1698946745499,253.04803466796875,38859600,9470237469.665527
2016-05-23,253.48512707726428,263.974118410886,248.8961721905207,262.0074157714844,39117200,10096881306.585693
2016-05-30,264.4111079224525,270.52968051041034,252.3924328279984,256.1072998046875,39521200,10420166394.16504
2016-06-06,253.26655033470217,264.8482075874379,251.2998558109642,260.9148254394531,35328800,9177608404.785156
2016-06-13,258.073949968857,258.2924715183649,239.28114177099343,246.05532836914065,38576800,9467890920.770264
2016-06-20,250.86281258346688,262.44442780841405,238.18853148307352,241.02931213378903,34494400,8648487167.803955
